learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
600000.0,4.183834,0.0,600000.0,95.16,89.15940794957638,89.25161003775261,85.61236623067776,96.37,92.49000000000001,600000.0,0.0
700000.0,5.287356,0.0,700000.0,94.94,88.35195279051071,88.17204301075269,84.18255704907784,96.37,92.65,700000.0,0.0
800000.0,6.602088,0.0,800000.0,94.78999999999999,88.32127024410293,88.13482122523342,84.46167611094542,96.15,92.22,800000.0,0.0
900000.0,8.010781,0.0,900000.0,94.75,88.10853280948665,87.98901853122855,84.14376321353065,96.43,92.17999999999999,900000.0,0.0
1000000.0,9.61982,0.0,1000000.0,94.96,88.52381306511965,88.44566712517195,84.5540913269997,96.43,92.46,1000000.0,0.0
1100000.0,11.312244,0.0,1100000.0,95.09,88.79028499889911,88.97620116748989,84.83163422922459,96.17,92.21000000000001,1100000.0,0.0
1200000.0,13.209577,0.0,1200000.0,95.41,89.65411287556697,89.63180483397333,86.22035424797356,96.41,92.78999999999999,1200000.0,0.0
1300000.0,15.092591,0.0,1300000.0,95.09,88.9210281863484,89.06945681211042,85.17512077294685,96.43,92.61,1300000.0,0.0
1400000.0,17.172647,0.0,1400000.0,95.08,88.79346887010149,88.72852233676976,84.87549953888718,96.21,92.5,1400000.0,0.0
1500000.0,19.61467,0.0,1500000.0,94.94,88.5468786668096,88.38650447555658,84.5354523227384,96.15,92.13,1500000.0,0.0
1600000.0,22.094018,0.0,1600000.0,95.19999999999999,89.0789351361099,89.2134831460674,85.28058877644892,96.39,92.52,1600000.0,0.0
1700000.0,24.723718,0.0,1700000.0,94.95,88.52733302703206,88.59787762474599,84.56601466992666,96.31,92.25999999999999,1700000.0,0.0
1800000.0,27.43996,0.0,1800000.0,94.95,88.65659288255787,88.65678346810422,84.97917906008328,96.38,92.25,1800000.0,0.0
1900000.0,30.248961,0.0,1900000.0,95.52000000000001,89.79731268503758,89.90308767185036,86.21538461538462,96.53,92.75999999999999,1900000.0,0.0
2000000.0,33.326283,0.0,2000000.0,95.15,88.92549842563973,88.97727272727273,84.99845344880916,96.28,92.61,2000000.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100000.0,0.722065,0.0,100000.0,94.69999999999999,87.92995053420444,87.76264142230431,83.64702252391237,95.89999999999999,92.01,100000.0,0.0
200000.0,1.629984,0.0,200000.0,95.19,89.04666947703471,88.92215568862275,85.1863258392362,96.34,92.5,200000.0,0.0
300000.0,2.584411,0.0,300000.0,94.72,88.07077985875895,88.08126410835216,84.09159385357037,96.11,92.28,300000.0,0.0
400000.0,3.402921,0.0,400000.0,95.39,89.63552013816188,89.6171171171171,86.19347109913147,96.32,92.30000000000001,400000.0,0.0
500000.0,4.419187,0.0,500000.0,94.58,87.77305839889597,87.73755656108597,83.67961457392352,96.35000000000001,92.08,500000.0,0.0
600000.0,5.483694,0.0,600000.0,95.22,89.28437178979507,89.38485454141684,85.79072532699169,96.5,92.31,600000.0,0.0
700000.0,6.624369,0.0,700000.0,94.92,88.30203321255414,88.12529219261339,84.12003751172243,96.41999999999999,92.51,700000.0,0.0
800000.0,7.983699,0.0,800000.0,94.74000000000001,88.20309286197858,88.02095194716466,84.31255592007159,96.17,92.04,800000.0,0.0
900000.0,9.437692,0.0,900000.0,94.74000000000001,88.08314700978745,87.96614047128804,84.1135608577469,96.44,92.14,900000.0,0.0
1000000.0,11.08079,0.0,1000000.0,94.95,88.50013317073508,88.4227418615314,84.52344468280724,96.43,92.45,1000000.0,0.0
1100000.0,12.777392,0.0,1100000.0,95.09,88.79028499889911,88.97620116748989,84.83163422922459,96.17,92.2,1100000.0,0.0
1200000.0,14.609476,0.0,1200000.0,95.41,89.65411287556697,89.63180483397333,86.22035424797356,96.41,92.78999999999999,1200000.0,0.0
